card_id,name,yomi,cost,type,power,effect,lore,set,tag
11,蜜運びアリ,蜜運びアリ / みつはこびあり,1,"地, 虫",300,自分の[地]のエネルギーが場に無い時使用できず場に出せない。(これをタップ) モンスター1体にカウンター1個を乗せる。(カウンター2) 自分は1枚引く。,,STR09-真なる力_グループ1,#モンスターカード
12,テントウムシ,テントウムシ / てんとうむし,1,"ザコ, 虫",100,破壊時、自分は1枚引く。,多くの場所に存在する虫。背中の星の数は品種によって異なる。,ベーシック,#モンスターカード
13,紅魚,紅魚 / こうぎょ,1,"水, 魚",200,場に出た時、相手に100ダメージ。,キュリアス海に生息する一般的によく知られる魚。海の中で目立つ色彩をしており、尚且つ泳ぎが遅いため天敵が多い。,CS02-未開地_グループ1,#モンスターカード
14,チビドラゴン,チビドラゴン / ちびどらごん,1,ドラゴン,300,,生まれたばかりのドラゴン。種類によって骨格や模様は千差万別。,STR03-古の竜術,#モンスターカード
15,ゾンビレックス,ゾンビレックス / ぞんびれっくす,1,"恐竜, ゾンビ",1500,カウンターが7個以下の時攻撃できない、これの効果は消えない。モンスターの破壊時、これにカウンター1個を乗せる。攻撃時、これのカウンターが8個以上なら、自分の捨て札から5コスト以下のモンスター1体までを出す。,イラスト/B級御茶謎のウィルスで蘇った恐竜。非常に凶暴で目についた生物を見境なく飲み込む。,プロモーションカード,#モンスターカード #オリカ
16,結界機兵,結界機兵 / けっかいきへい,1,機械,100,自分が受けるダメージ-300。(自分の手札から3コスト以上の魔法1枚を捨てる) 自分を300回復。,"かつての""スローン大戦""に於いて、魔導機械軍が使用した防御陣展開兵器。魔力により生成された結界は、神鉄連合軍の攻撃をいとも容易く防いだ。",CS04-覚醒地_グループ1,#モンスターカード
17,宝彩蝶 紅,宝彩蝶 紅 / ほうさいいちょう あか,1,虫,100,場に出た時、自分のモンスターが1体場にいるなら、自分のデッキから自分の名前に「宝彩蝶」を含むモンスター2体までを出す。(3) モンスター1体に (自分の名前に「宝彩蝶」を含むモンスターの数×300) ダメージ。,煌めく色彩の羽を持つ蝶。その輝きは見るものの目を眩ます。,RP02-ランダムパスvol2_グループ4,#モンスターカード
18,宝彩蝶 蒼,宝彩蝶 蒼 / ほうさいいちょう あお,1,虫,100,場に出た時、自分のモンスターが1体場にいるなら、自分のデッキから自分の名前に「宝彩蝶」を含むモンスター2体までを出す。(3) 自分は (自分の名前に「宝彩蝶」を含むモンスターの数) 枚引く。,煌めく色彩の羽を持つ蝶。その輝きは見るものの目を光で閉ざす。,RP02-ランダムパスvol2_グループ4,#モンスターカード
19,宝彩蝶 黄,宝彩蝶 黄 / ほうさいいちょう き,1,虫,100,場に出た時、自分のモンスターが1体場にいるなら、自分のデッキから自分の名前に「宝彩蝶」を含むモンスター2体までを出す。(3) 自分を (自分の名前に「宝彩蝶」を含むモンスターの数×300) 回復。,煌めく色彩の羽を持つ蝶。その輝きは見るものの目を遮る。,RP02-ランダムパスvol2_グループ4,#モンスターカード
20,地図ゴブリン,地図ゴブリン / ちずごぶりん,1,ゴブリン,100,(これをタップ) 自分の手札かデッキから「地図ゴブリン」以外の1コスト以下の[ゴブリン]1体までを出す。(1) 自分のデッキから「古びた地図」1枚までを使用する。,地図を読むことができ、仲間を動かすゴブリン。ただし使っている地図が古すぎることを理解しておらず。あまり有効な指示はできていない。,RP02-ランダムパスvol2_グループ6,#モンスターカード
21,竹の魔物,竹の魔物 / たけのまもの,1,植物,100,※このカードは何枚でもデッキに入れることができる。場に出た時、これを＋（自分の場の[植物]の数×100）。(2) 自分のデッキから1コスト以下の[植物]1体までを出す。,竹の体を持つ魔物。寿命が長い上に繁殖力が高いため、自然に淘汰される事なく生き残り続けている。,RP01-ランダムパスvol1_グループ5,#モンスターカード
22,ブレードゾンビ,ブレードゾンビ / ぶれーどぞんび,1,ゾンビ,100,場に出た時、自分のモンスター1体にカウンター2個を乗せる。,亡者が謎のウイルスに感染して蘇った姿。死因となった武器を持つ習性がある。,STR06-屍の行進,#モンスターカード
23,プラスラッシャー,プラスラッシャー / ぷらすらっしゃー,1,"算数, 機械",200,"自分の他の[機械]のモンスターが場に出た時、これを+100。(2) 自分のデッキから[算数,機械]1枚までを手札に加える。",世界観に合わなくて没にしちゃったんだって！ちゃんとプラスになってるトコとか、カワイイんだけどな…？,MCS07-気まぐれ箱vol1,#モンスターカード
24,冒険者,冒険者 / ぼうけんしゃ,1,ヒト,100,自分のターン終了時、これを+100。,あなたがこの世界に降り立った時、仮にヒトの体を受け取っていたなら、どのような人生を歩むのだろうか。,プレイヤーレベル (LV) 1達成,#モンスターカード
25,飴玉の幽霊,飴玉の幽霊 / あめだまのゆうれい,1,幽霊,300,攻撃されない。攻撃時、相手は1枚引く。(4) 自分のデッキか捨て札から1コスト以下の[幽霊]3体までを出す。,[2025ハロウィン特典]夜に現れる小さな幽霊。飴のような見た目をしているが、中身は霊魂である。,プロモーションカード,#モンスターカード
26,兵隊アリ,兵隊アリ / へいたいあり,1,"ザコ, 虫",200,(2) 自分の名前に「蟻」を含むモンスターが場にいるなら、モンスター1体に600ダメージ。,女王蟻のために巣を守るアリ。たまに戦っているフリをするだけの者もいる。,DES02-秘匿区域_グループ4,#モンスターカード
27,石ゴブリン,石ゴブリン / いしごぶりん,1,ゴブリン,200,(これをタップ) 相手か相手のモンスター1体に100ダメージ。,石を投げるゴブリン。棒切れより石を投げる方が優秀だと判断され、少し高級な装備を持たせてもらっている。,CS01-新天地_グループ1,#モンスターカード
28,働きアリ,働きアリ / はたらきあり,1,"ザコ, 虫",200,(2) 自分のデッキから2コスト以下の名前に「アリ」を含むモンスター1体までを出す。,女王蟻の元で働く小さなアリ。集団で行動するが、働き加減にはばらつきがある。,CS01-新天地_グループ1,#モンスターカード
29,白蛇,白蛇 / しろへび,1,毒,100,場に出た時、自分のデッキから名前に「ヘビ」か「蛇」を含むカード1枚までを手札に加える。,[2025新年特典]滅多に見ることが出来ないヘビ。神の使いとされているが、実際はほとんどの個体がヒトが足を踏み入れない山奥に生息しているだけである。,プロモーションカード,#モンスターカード
30,双頭ゾンビ,双頭ゾンビ / そうとうぞんび,1,ゾンビ,500,使用により場に出た時、これを破壊する。,二つの頭を持つゾンビ。特に気が荒く、手懐けることは不可能。,RP01-ランダムパスvol1_グループ5,#モンスターカード
31,碑獣タツン,碑獣タツン / ひじゅうたっつ,1,"地, 獣",100,場に出た時、自分は1枚引く。(2) 自分のデッキから[森]1枚までを出す。,緑の構造物に憑依された獣。周囲環境をスキャンし、緑化活動を行うようプログラムされている。,RP01-ランダムパスvol1_グループ6,#モンスターカード
32,量産型タイロス,量産型タイロス / りょうさんがたたいろす,1,機械,200,※このカードは何枚でもデッキに入れることができる。,ミドル・T・フレーム採用の戦闘兵器。武装はライトガンアームとショートシールドのみの安価な作りではあるが、オートパイロットモードは健在である。,RP02-ランダムパスvol2_グループ8,#モンスターカード
33,神託の鳥,神託の鳥 / しんたくのとり,1,"光, 鳥",100,場に出た時、自分のデッキから[詠唱]1枚までを手札に加える。(4) 自分の捨て札から3コスト以下のモンスター1体までを出す。,神のお告げを知らせるため、神界と現世を渡る鳥。自らも神聖な力を宿しており、天使の真似事をし遊ぶこともある。,MCS10-詠唱の歌声,#モンスターカード
34,モスワーム,モスワーム / もすわーむ,1,"地, 虫",300,自分の[地]のエネルギーが場に無い時使用できず場に出せない。場に出た時、相手のモンスター1体に300ダメージ。,,STR09-真なる力_グループ1,#モンスターカード
35,燃えトカゲ,燃えトカゲ / もえとかげ,1,火,600,場に出た時、自分のモンスター1体を破壊する。,発火する粘液を蓄えているトカゲ。外敵から身を守るためだけでなく、攻撃手段としても火を用いる。たまに自ら焼けてしまうことも。,CS01-新天地_グループ1,#モンスターカード
36,ミツバチ,ミツバチ / みつばち,1,虫,100,攻撃されない。自分のターン終了時、これにカウンター1個を乗せる。(2) 自分は(これのカウンターの数) 枚引く、これのカウンターを0個にする。,攻撃性の無い穏やかな性格のハチ。蜜や花粉の採取だけでなく、様々な仕事を行う。,RP02-ランダムパスvol2_グループ1,#モンスターカード
37,マントゴブリン,マントゴブリン / まんとごぶりん,1,"風, ゴブリン",300,場に出たターンでも攻撃できる。自分のターン終了時、これを破壊する。,マントとは名ばかりのただの布を括りつけたゴブリン。空から落ちるように敵に突撃する。,CS04-覚醒地_グループ1,#モンスターカード
38,焼き魚,焼き魚 / やきざかな,1,魚,50,攻撃できない。破壊時、自分は1枚引く。,様々な魚が見られるキュリアス地方の食卓において、最もよく出る主菜。そのため街の食堂やレストランでメニューに無いこともしばしば。,CS02-未開地_グループ1,#モンスターカード
39,焦げスライム,焦げスライム / こげすらいむ,1,"火, ザコ",200,場に出たターンでも攻撃できる。,主に火山地帯に生息するスライム。元々敵の多い種だが、環境までが襲いかかる過酷な環境であるため警戒心が強い。,STR01-灼熱竜の咆哮,#モンスターカード
40,ポイズンゾンビ,ポイズンゾンビ / ぼいずんぞんび,1,"毒, ゾンビ",100,モンスターとの戦闘時、戦闘相手のパワーで戦闘する。,謎のウイルスが元より毒性のあるキノコに感染し、それを食した人がゾンビとなった。片腕は死後に腐り落ちた。,STR06-屍の行進,#モンスターカード
41,ボムゾンビ,ボムゾンビ / ぼむぞんび,1,ゾンビ,300,(カウンター4) 相手のランダムなモンスター1体を破壊する。,爆薬実験を行う人工島に生息するゾンビ。同種でないと分かった途端に爆弾を投げつけてくる。,STR06-屍の行進,#モンスターカード
42,ランスズキの握り,ランスズキの握り / らんすずきのにぎり,1,魚,300,共召喚: [魚]、「シャリエネルギー」攻撃できない。相手のモンスターは相手のマナが2以下の時は攻撃できない。破壊時、相手に900ダメージ、相手のマナ-1。,槍状の武器官を持つスズキの一種の握り。淡白な味わいをしているため旨みを増加させるひと工夫が必要。,MCS12-美食の探求,#モンスターカード
43,スライム,スライム / すらいむ,1,ザコ,300,,様々な場所に生息するジェル上の生物。友好的で他の種族の個体と協力するシーンも目にすることができる。,ベーシック,#モンスターカード
44,奇怪な少女,奇怪な少女 / きかいなしょうじょ,1,"ヒト,幽霊",100,(これをタップ) 自分のデッキか捨て札からハロウィンに関するカード1枚までを手札に加える。,[2025ハロウィン特典]いつもカボチャを繰り抜いた被り物を身につけている少女。それによりヒト以外と意思疎通が可能になるとか…。,プロモーションカード,#モンスターカード
45,短剣の騎士,短剣の騎士 / たんけんのきし,1,"ヒト,騎士",300,,短剣を持つ騎士。騎士団には所属しておらず、村の護衛やハンターとして雇われる。,CS01-新天地_グループ1,#モンスターカード
46,釣り人,釣り人 / つりびと,1,ヒト,200,自分のターン終了時、自分のデッキから「釣果」1枚までを手札に加える。,多くの村民が漁師として生計を立てているが、趣味としてそれを楽しむ人もいる。最近は湖での釣りが流行している。,CS02-未開地_グループ1,#モンスターカード
47,にわとり,にわとり / れぐぼーん,1,鳥,100,場に出たターンでも攻撃できる。自分のカードの使用時、これを+100。,学校で飼われているあの子と、スーパーに並ぶ予定のあの子。本当に幸せなのはどちらか？,プロモーションカード,#モンスターカード #オリカ
48,自立機ジャンクマン,自立機ジャンクマン / おーとましんじゃんくまん,1,"ザコ,機械",100,(これを破壊) 自分のデッキから名前に「古びた」を含むカード1枚までを手札に加える。(これを破壊) 自分の捨て札から[部品]1枚までを手札に加える。,何かしらの役割を持っていたが、今では走ることしかままならず、カメラも機能していないため部品取りとして狙われる野生の機械。,CS02-未開地_グループ1,#モンスターカード
49,自立機スイッチマン,自立機スイッチマン / おーとましんすいっちまん,1,"機械,部品",200,(これを破壊) 相手のランダムなモンスター1体に200ダメージ。,大きなスイッチに動力のオンオフが集約されている粗末な機械。一度走り出してしまうと燃料と熱により爆発してしまう。,DES02-秘匿区域_グループ1,#モンスターカード
50,自立機テープマン,自立機テープマン / おーとましんてーぷまん,1,機械,300,(これを破壊) 自分の捨て札から[部品]1枚までを手札に加える。,元はテープラックとして作られた暴走する機械。テープの残量が起動時間に直結するため、寿命は短い。,RP02-ランダムパスvol2_グループ8,#モンスターカード
51,はりねずみ,はりねずみ,1,"ザコ,罠使い",200,場に出た時、自分のデッキから「はりトラップ」1枚までを手札に加える。,針を持つ小型の生き物。小型ながら抵抗する意思が強い。愛玩用として飼われることもある。,CS01-新天地_グループ1,モンスターカード
52,棒ゴブリン,ぼうごぶリン,1,ゴブリン,300,,棒切れで戦うゴブリン。戦闘能力は低く、最低限の装備しか与えられていない。,CS01-新天地_グループ1,モンスターカード
53,星鮫,ほしざめ,1,"水,魚",400,場に出たターンでも攻撃できる。場に出た時、自分のエネルギー1枚を破壊する。,体表の白い斑点模様が特徴的な小型の鮫。食用とする地域もある。,RP02-ランダムパスvol2_グループ5,モンスターカード
54,蒼魚,そうぎょ,1,"水,魚",300,,キュリアス海に生息する一般的によく知られる魚。体色が美しくなる前の段階で食用として捕獲されるため、綺麗に色付くことを多くの人が知らない。,CS02-未開地_グループ1,モンスターカード
55,暖炉の幽霊,だんろのゆうれい,1,"火,幽霊",400,自分の[火]のエネルギーが場に無い時使用できず場に出せない。(2) 自分のデッキか捨て札から「暖炉の幽霊」1体までを出す。,,STR09-真なる力_グループ2,モンスターカード
56,棒人間,ぼうにんげん,1,"ザコ,ヒト",1,場に出た時、モンスター全てを=1。,誰かの悪ふざけで作られた棒人間に魂が宿った姿。弱そうに見えるが凶悪な呪術を使うことができる。,プロモーションカード,モンスターカード #オリカ
57,鍵の精霊,かぎのせいれい,1,"光,妖精",100,場に出た時、自分の「鍵の精霊」が4体場にいるなら、自分の手札からモンスター1体までを出す。,巨大な門を開けるために必要な鍵に魂が宿った。セキュリティの問題で4つに分裂したため、全ての精霊が集まらなければ門は開かない。,CS03-共鳴地_グループ1,モンスターカード
58,銀雪の幼竜,ぎんせつのようりゅう,1,"水,ドラゴン",100,場に出た時、相手のモンスター1体は「自分のターン終了時まで攻撃できない。」を持つ。(2) 自分のデッキから名前に「銀雪」を含むモンスター1枚までを手札に加える。,雪の吹きつく山に住む竜の幼体。寒波に耐えるため既に厚い鱗を持つ。,RP01-ランダムパスvol1_グループ6,モンスターカード
59,幸運を呼ぶ鳥,こううんをよぶとり,1,"光,鳥",100,場に出た時、自分のデッキから1コスト以下の[光]の魔法1枚までを手札に加える、自分を100回復。,雲の上にも出現する羽の長い鳥。絶滅危惧種であり、この鳥を目にした者にはその日幸運が訪れると言われている。,CS03-共鳴地_グループ1,モンスターカード
60,鉄漁り,てつあさり,1,機械,300,自分のターン終了時、自分のデッキから[部品]1枚までを捨てる。,様々な部品を取り込むことでかろうじて動いている機械。しかし動力源の核となる部分はヒトの心臓という噂がある。,RP01-ランダムパスvol1_グループ3,モンスターカード
61,微風魚,微風魚 / そよかぜうお,1,"風,魚",100,攻撃されない。相手の効果で選ばれない。,空を泳ぐ魚。身体の透明度が高く、とても小さな生物なため目で追うことすら難しい。,CS04-覚醒地_グループ1,#モンスターカード
62,尖晶石の片腕,尖晶石の片腕 / すぴねる・あーむ,1,"悪魔,宝石",100,場に出た時、以下からランダムに1つ行う。自分の[宝石]が2体以上場にいるなら、全て行う。①相手に200ダメージ。②ランダムな相手のモンスター1体を-200。,尖晶石でできた謎の腕。死に至った悪魔のものとされているが真相は不明である。,MCS09-未来永劫_グループ1,#モンスターカード
63,翠鱗のパラサウロロフス,翠鱗のパラサウロロフス / すいりんのぱらさうろろふす,1,恐竜,300,(自分の他の[植物]1体を破壊) 自分の手札かデッキから「翠鱗のパラサウロロフス」1体までを出す。,1コストの恐竜が欲しくて書いたけど、思ったより存在感があって没にしたんだって！,MCS07-気まぐれvol1,#モンスターカード
64,スノースライム,スノースライム / すのーすらいむ,1,"水,ザコ",100,場に出た時、自分のデッキから2コスト以下の[水]の魔法1枚までを手札に加える。(5) これを+1000。,雪のようなふわふわのスライム。時間が経つとどんどん成長し、やがて少し倒れるだけで家屋を倒壊させるほどの質量を持つ。,RP01-ランダムパスvol1_グループ7,#モンスターカード
65,羊歯の魔物,羊歯の魔物 / しだのまもの,1,"ザコ,植物",100,破壊時、自分は1枚引く。,シダ植物に擬態した魔物。体がとても軽く、葉のような翼で滑空移動する。,STR05-太古の覇者,#モンスターカード
66,サシバチ,サシバチ / さしばち,1,"毒,虫",100,攻撃されない。自分のターン終了時、これにカウンター1個を乗せる。(2) モンスター1体を- (これのカウンターの数×300) 、これのカウンターを0個にする。,敵と認識した者を執拗に攻撃するハチ。針に仕込まれた毒は激しい痛みを引き起こす。,RP02-ランダムパスvol2_グループ1,#モンスターカード
67,脚付き乾電池,脚付き乾電池 / あしつきかんでんち,1,"雷,機械",200,攻撃できない。(これをタップ) 自分の[機械]1体を+200。,二足歩行が可能な給電ユニット。用途や製造年代により様々な形状のものが存在する。,CS04-覚醒地_グループ1,#モンスターカード
68,桜小鳥,桜小鳥 / さくらことり,1,鳥,300,,火山付近の幼虫を食べる鳥。飛ぶのは下手だが飛ぶこと自体は好きなのでよく木に登って降りることができなくなる。普段は走って移動している。,CS03-共鳴地_グループ1,#モンスターカード
69,コウモリ,コウモリ / こうもり,1,ザコ,100,場に出た時、相手のモンスター1体に200ダメージ、自分を200回復。,洞窟のような暗い場所に生息する生き物。吸血をすることで栄養を補給する。寿命が短い。,CS01-新天地_グループ1,#モンスターカード
70,かたい貝,かたい貝 / かたいかい,1,水,600,攻撃できない。,川を出た先に生息する貝。攻撃性は皆無で、主に海藻を食べて生きている。殻はとてつもなく硬い。,CS01-新天地_グループ1,#モンスターカード
71,怠惰な海賊嬢,怠惰な海賊嬢 / たいだなかぞくじょう,2,"ヒト,海賊",500,場に出た時、自分の[海賊]が2体以上場にいるなら、これを+200。,いつもパイナップルジュースを飲みお腹を下し眠っている海賊嬢。きちんと動ける時はそれなりの仕事をする。,プロモーションカード,#モンスターカード
72,月の剣士,月の剣士 / つきのけんし,2,"闇,騎士",300,自分かダメージを受けた時、これを+300。場に出た時、自分の[月]のフィールドが場にあるなら、これを+300。,月光の力を刃に宿す剣士。常に鎧を身につけ、その素顔は誰にも知られることはない。,STR08-冥界の番人,#モンスターカード
73,王国の槍騎士,王国の槍騎士 / おうこくのやりきし,2,"ヒト,騎士",500,アンタップ中は攻撃されない。,王国の部隊に所属する騎士。槍と盾を標準装備としており、リーチと防御力で白兵戦を優位に進める。,STR04-王国騎士団,#モンスターカード
74,白詰草の魔物,白詰草の魔物 / しろつめくさのまもの,2,植物,400,場に出た時、50%の確率でこれを+300。(1) 自分を200回復。,空中を浮遊する植物の魔物。個体によって葉のような羽の枚数が異なる場合がある。,DES01-闘争本能_グループ2,#モンスターカード
75,採掘ゴブリン,採掘ゴブリン / さいくつごぶりん,2,ゴブリン,500,(これを破壊) 自分のデッキから「火山弾」1枚までを手札に加える。,武器加工用の鉱石を調達するゴブリン。何故か噴火頻度が高い火山を好み、噴火に巻き込まれて命を落とす者が後を絶たない。,STR01-灼熱竜の咆哮,#モンスターカード
76,銅剣の騎士,銅剣の騎士 / どうけんのきし,2,"ヒト,騎士",500,(2) これを+300。,銅剣を持つ王国軍の傭兵。正規部隊との判別をつけるため、それらと外観の異なる武器と鎧を持つ。,STR04-王国騎士団,#モンスターカード
77,誓いの天使,誓いの天使 / ちかいのてんし,2,"光,天使",500,場に出た時、自分のデッキか捨て札から「共鳴」か共鳴召喚が必要なモンスター1枚までを手札に加える。(これをタップ) 共鳴召喚を行う。,ディエティの天使。より上位の天使より共鳴術を授かり、予測された未来通り儀式を行う。,CS03-共鳴地_グループ1,#モンスターカード
78,悪戯フェアリー,悪戯フェアリー / いたずらふぇありー,2,妖精,200,場に出たターンでも攻撃できる。場に出た時、相手のモンスター1体の効果を消す。,出会った生物に悪戯を仕掛けた後、数分前までの記憶を消す魔法を使い、それを自分の存在ごと抹消する妖精。そのせいか姿があまり認知されていない。,STR01-灼熱竜の咆哮,#モンスターカード
79,王国の弓騎士,王国の弓騎士 / おうこくのゆみきし,2,"ヒト,騎士",300,(これをタップ) 相手のモンスター1体に (これのパワー) ダメージ。,王国の部隊に所属する、弓を持つ騎士。戦地へ赴き弓矢での戦闘を行う他、拠点や砦の防衛も行う。,STR04-王国騎士団,#モンスターカード
80,銅牙の獣,銅牙の獣 / どうがのけもの,2,"地,獣",500,自分の[地]のエネルギーが場に無い時使用できず場に出せない。場に出た時、相手の2コスト以下のモンスター1体を破壊する。,,STR09-真なる力_グループ1,#モンスターカード
81,旗持ちの騎士,旗持ちの騎士 / はたもちのきし,2,"ヒト,騎士",300,場に出た時、自分のデッキから1コスト以下の[騎士]1体までを出す。,指揮を取る旗を携えた騎士。階級的には一般兵より少し高い程度で、自ら戦闘することがほとんど。,CS01-新天地_グループ2,#モンスターカード
82,爆発魚,爆発魚 / ばくはつお,2,"火,魚",300,破壊時、モンスター全てに300ダメージ。,死に際に鱗と鱗の摩擦により小さな爆発を起こす魚。その身は美味だが、火魔法の扱いに長けた調理師でなければ怪我をする。,CS02-未開地_グループ1,#モンスターカード
83,古代樹の魔物,古代樹の魔物 / こだいじゅのまもの,2,植物,600,攻撃できない。(1) 自分のデッキからエネルギー1枚までを手札に加える。,遥か昔から存在する品種の樹に宿った魔物。地面に根付いており、大地のエネルギーを吸収して成長する。,STR05-太古の覇者,#モンスターカード
84,剣ゴブリン,剣ゴブリン / けんごぶりん,2,ゴブリン,600,,一般的なゴブリンの戦闘兵。ほぼ自身の身長と同じ長さの剣を振るい、勇敢に戦う。,ベーシック,#モンスターカード
85,猫鮫,猫鮫 / ねこざめ,2,"水,魚",400,エネルギーの破壊時、これを+200。,猫のような頭を持つ小型の鮫。強力なアゴで貝を食い尽くす。,RP02-ランダムパスvol2_グループ5,#モンスターカード
86,静森の蝶,静森の蝶 / せいしんのちょう,2,"風,虫",200,場に出た時、自分の「静森の蝶」が2体以上場にないなら、自分の手札かデッキから「静森の蝶」1体までを出す。攻撃時、自分のデッキからエネルギー1枚までを手札に加える。,生き物の少ない静かな森で見かける蝶。必ずつがい行動しており、歪んだ森の魔力を濾過している。,CS04-覚醒地_グループ2,#モンスターカード
87,飛びナイフ,飛びナイフ / とびないふ,2,"ザコ,装備",400,場に出たターンでも攻撃できる。,浮遊移動するナイフ型の魔物。ヒトに捨てられたナイフが復讐のために意思を持ったとされているが、それは全くの嘘であり、単にナイフに似た形状をしているだけである。,CS01-新天地_グループ2,#モンスターカード
88,氷鱗魚,氷鱗魚 / ひょうりんうお,2,"水,魚",300,自分の[水]のエネルギーが場に無い時使用できず場に出せない。場に出たターンでも攻撃できる。(これを破壊) 自分のデッキから[水]のモンスター1枚までを手札に加える。,,STR09-真なる力_グループ3,#モンスターカード
89,水鉄砲ゴブリン,水鉄砲ゴブリン / みずでっぽうごぶりん,2,ゴブリン,500,(自分の手札から[水]1枚を捨てる) モンスター1体に300ダメージ。,海を楽しみに来た一人ぼっちのゴブリン。水鉄砲のパワーがありすぎて周りから嫌われている。,CS02-未開地_グループ1,#モンスターカード
90,流転の魔女,流転の魔女 / るてんのまじょ,2,宇宙,500,場に出た時、相手の1コスト以下のフィールドが場にあるなら、それを破壊する。,遥か遠い場所で星を眺める星系管理局の一員。様々な星の地形環境を整備している。,RP02-ランダムパスvol2_グループ7,#モンスターカード
91,尖晶石の人形,尖晶石の人形 / すぴねる・ごーれむ,2,"ゴーレム,宝石",300,場に出た時、以下からランダムに1つ行う。自分の[宝石]が2体以上場にいるなら、全て行う。①これを+300。②自分は1枚引く。,[一周年記念]尖晶石でできた魔力を栄養とするゴーレム。本体が割れても新しい尖晶石に手足を貼り付けて再生する。,プロモーションカード,#モンスターカード
92,子供オーガ,子供オーガ / こどもおーが,2,オーガ,500,(1) 自分のエネルギー1枚を破壊する、相手のモンスター1体に700ダメージ。,パワフルなオーガの子供。自分より大きい丸太を武器とすることが多く、乱暴な性格。個体数が少ないのであまり見ることはない。,CS01-新天地_グループ2,#モンスターカード
93,刃尾の竜,刃尾の竜 / やいばおのりゅう,2,ドラゴン,500,(2) 相手に300ダメージ。,尻尾の先端に骨と同じ素材でできた刃を持つドラゴン。飛行能力はあまり高くなく普段は木の上で生活をする。,STR03-古の竜術,#モンスターカード
94,水の魔法使い,水の魔法使い / みずのまほうつかい,2,"水,ヒト",100,(これをタップ) 自分は1枚引く。(2) 自分のデッキから[水]1枚までを手札に加える。,幼少期から水魔法を学習していた魔法使い。勉強熱心では無かったが、一時期危ない目にあったことから、自らを守る術として鍛錬し直した。,CS02-未開地_グループ1,#モンスターカード
